10,1,9000.0,CASH,PENDING,2026-05-21
11,1,5000.0,CASH,PENDING,2026-05-21
13,6,3000.0,Cash,PAID,null
14,6,4000.0,CARD,PAID,2026-05-24
15,6,8000.0,null,PAID,null
16,6,7000.0,Cash,PAID,null
17,6,6000.0,CASH,PENDING,2026-05-25
18,6,4000.0,Cash,PAID,null
19,6,3560.0,Online,PAID,null
20,6,4000.0,CARD,PAID,2026-05-25
21,6,500.0,CASH,PENDING,2026-05-25
22,6,8010.0,CASH,PENDING,2026-05-25
23,6,6000.0,CASH,PENDING,2026-05-25
24,6,8000.0,CASH,PENDING,2026-05-25
25,6,13000.0,CASH,PENDING,2026-05-25
26,6,4000.0,CASH,PENDING,2026-05-26
27,6,4000.0,CASH,PENDING,2026-05-31
28,6,5000.0,CASH,PENDING,2026-05-31
29,6,6000.0,CARD,PAID,2026-05-31
